state,district,total_ipc_crimes,total_sll_crimes,total_crime_burden,violent_crime_total,property_crime_total,arms_act_cases,ndps_narcotics_cases,contraband_enforcement_total,crimes_against_women_total,crimes_against_children_total,crimes_against_sc_total,crimes_against_st_total,sc_st_atrocities_total,juvenile_ipc_crimes_total,cybercrimes_total,missing_persons_total,missing_children_total,violent_crime_ratio,property_crime_ratio,women_vulnerability_share,child_vulnerability_share,caste_atrocity_share,juvenile_delinquency_ratio,cyber_crime_intensity_per_1k,trafficking_vulnerability_proxy
Rajasthan,Ajmer,18244,5200,23444,303,1928,79,546,625,2904,1410,746,69,815,112,121,3995,992,0.0166,0.1057,0.1592,0.0773,0.0447,0.0061,6.6323,2.2094
Rajasthan,Alwar,28258,9334,37592,606,3187,235,895,1130,5452,400,1150,510,1660,0,44,2549,668,0.0214,0.1128,0.1929,0.0142,0.0587,0.0,1.5571,668.0
Rajasthan,Anupgarh,7644,3387,11031,170,694,130,884,1014,1251,651,731,21,752,75,11,1996,364,0.0222,0.0908,0.1637,0.0852,0.0984,0.0098,1.439,1.3333
Rajasthan,Ats & Sog,372,14,386,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0027,0.0,0.0,0.0,0.0,0.0,0.0
Rajasthan,Balotra,5897,1535,7432,176,586,34,365,399,931,282,207,183,390,133,42,747,180,0.0298,0.0994,0.1579,0.0478,0.0661,0.0226,7.1223,2.1429
Rajasthan,Banswara,8944,6463,15407,290,589,80,1573,1653,2116,1349,44,101,145,263,110,2256,384,0.0324,0.0659,0.2366,0.1508,0.0162,0.0294,12.2987,0.8258
Rajasthan,Baran,14001,7006,21007,351,907,380,803,1183,2121,1105,614,373,987,177,52,2986,676,0.0251,0.0648,0.1515,0.0789,0.0705,0.0126,3.714,1.9941
Rajasthan,Barmer,9068,2994,12062,283,840,57,829,886,1739,594,591,188,779,123,248,926,224,0.0312,0.0926,0.1918,0.0655,0.0859,0.0136,27.3489,2.4086
Rajasthan,Beawar,13223,3105,16328,226,948,40,624,664,2419,1149,304,24,328,0,88,3478,772,0.0171,0.0717,0.1829,0.0869,0.0248,0.0,6.6551,1.4296
Rajasthan,Bharatpur,22207,4159,26366,502,2069,186,367,553,4873,342,1278,147,1425,101,67,1098,120,0.0226,0.0932,0.2194,0.0154,0.0642,0.0045,3.0171,1.3187
Rajasthan,Bhilwara,19731,5519,25250,419,2062,140,769,909,3212,1253,718,215,933,270,176,5271,1440,0.0212,0.1045,0.1628,0.0635,0.0473,0.0137,8.92,2.5397
Rajasthan,Bhiwadi,7703,2814,10517,141,949,140,332,472,1248,634,302,51,353,97,12,1139,428,0.0183,0.1232,0.162,0.0823,0.0458,0.0126,1.5578,2.2646
Rajasthan,Bikaner,18787,8203,26990,541,1989,384,1604,1988,3205,410,1274,86,1360,0,27,3172,904,0.0288,0.1059,0.1706,0.0218,0.0724,0.0,1.4372,904.0
Rajasthan,Bundi,11799,6409,18208,263,552,494,679,1173,2072,604,434,328,762,0,36,2908,568,0.0223,0.0468,0.1756,0.0512,0.0646,0.0,3.0511,2.5818
Rajasthan,Chittorgarh,14855,6719,21574,285,1445,345,1407,1752,2403,618,452,228,680,172,0,4289,1028,0.0192,0.0973,0.1618,0.0416,0.0458,0.0116,0.0,3.9087
Rajasthan,Churu,11607,5371,16978,239,1138,102,1039,1141,2401,783,781,62,843,0,56,2174,308,0.0206,0.098,0.2069,0.0675,0.0726,0.0,4.8247,1.5323
Rajasthan,Dausa,18099,4959,23058,457,1753,118,597,715,3339,351,735,556,1291,122,181,1516,508,0.0253,0.0969,0.1845,0.0194,0.0713,0.0067,10.0006,11.2889
Rajasthan,Deeg,13476,2596,16072,353,1113,142,255,397,3217,332,508,52,560,359,96,535,124,0.0262,0.0826,0.2387,0.0246,0.0416,0.0266,7.1238,1.3778
Rajasthan,Dholpur,14762,5418,20180,446,1311,395,475,870,2746,514,1013,119,1132,182,16,918,84,0.0302,0.0888,0.186,0.0348,0.0767,0.0123,1.0839,1.4237
Rajasthan,Didwana-Kuchaman,8969,2588,11557,237,893,36,424,460,1811,548,440,33,473,93,64,1929,336,0.0264,0.0996,0.2019,0.0611,0.0527,0.0104,7.1357,2.1538
Rajasthan,Dudu,2867,459,3326,61,222,14,73,87,352,143,97,41,138,7,4,338,80,0.0213,0.0774,0.1228,0.0499,0.0481,0.0024,1.3952,2.1053
Rajasthan,Dungarpur,7740,3475,11215,359,487,28,818,846,1976,1337,26,93,119,290,24,3163,1120,0.0464,0.0629,0.2553,0.1727,0.0154,0.0375,3.1008,2.1132
Rajasthan,Ganganagar,15085,8426,23511,326,1528,419,1805,2224,2598,1210,1283,45,1328,189,162,3513,636,0.0216,0.1013,0.1722,0.0802,0.088,0.0125,10.7391,1.4165
Rajasthan,Gangapur City,7465,1958,9423,229,704,104,334,438,1673,205,191,199,390,99,24,483,84,0.0307,0.0943,0.2241,0.0275,0.0522,0.0133,3.215,2.0488
Rajasthan,Grp Ajmer,5000,1719,6719,7,1167,71,239,310,44,60,8,16,24,0,12,151,28,0.0014,0.2334,0.0088,0.012,0.0048,0.0,2.4,1.8667
Rajasthan,Grp Jodhpur,1534,463,1997,3,340,1,74,75,43,32,12,0,12,19,0,67,28,0.002,0.2216,0.028,0.0209,0.0078,0.0124,0.0,1.8667
Rajasthan,Hanumangarh,16053,10103,26156,348,1620,377,1911,2288,2812,1175,1427,77,1504,268,308,3740,716,0.0217,0.1009,0.1752,0.0732,0.0937,0.0167,19.1864,1.5947
Rajasthan,Jaipur Crime,2045,27,2072,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.2689,0.0
Rajasthan,Jaipur East,32259,6498,38757,337,4564,118,1098,1216,2775,1414,456,338,794,125,247,3498,912,0.0104,0.1415,0.086,0.0438,0.0246,0.0039,7.6568,1.6462
Rajasthan,Jaipur Metro,2,3,5,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
Rajasthan,Jaipur North,12913,7871,20784,193,1230,154,727,881,1593,731,195,78,273,151,12,2301,516,0.0149,0.0953,0.1234,0.0566,0.0211,0.0117,0.9293,2.0976
